model,L,rank,x,pi,source,KF_of_distribution
NNN-TFIM,12,58,4.7599288588619236e-12,1.3932599533546102e-12,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,59,4.2888729666953185e-12,1.2553790459276916e-12,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,60,3.3751893910626232e-12,9.8793833962452008e-13,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,61,2.6064794390656365e-12,7.6293228940413500e-13,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,62,2.2458123261296430e-12,6.5736284501838632e-13,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,63,2.1341811645694257e-12,6.2468772915846225e-13,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,64,2.0197855100048239e-12,5.9120342948328712e-13,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,65,7.6301352119740126e-13,2.2333867048731577e-13,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,66,6.8160485439199333e-13,1.9950986155358673e-13,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,67,5.6325884424802867e-13,1.6486926891827831e-13,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,68,5.0425649225242960e-13,1.4759892378777237e-13,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,69,3.5409508229095900e-13,1.0364577128443789e-13,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,70,2.4481555273733297e-13,7.1658992329741043e-14,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,71,1.9628618974317537e-13,5.7454154394886876e-14,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,72,1.9068998758552500e-13,5.5816112191248745e-14,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,73,1.5826676598374773e-13,4.6325639212352318e-14,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,74,7.8544244064538382e-14,2.2990375080478968e-14,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,75,4.5347788961898736e-14,1.3273571981261938e-14,parity-PRG-sector-hybrid,0.774276968954
